country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Afghanistan,Asia,179267,769,16222,93.75,442,19,95.1337,23455,4.56636,14.78686164,138.15117,48
Albania,Europe,275574,3497,271826,2.51,95954,1218,18.1753,632857,28.71945,18.25578748,12.76432,80
Algeria,Africa,265816,6875,178371,8.57,5865,152,2.3861,593,453.25517,0.000000163,152.05854,75
Andorra,Europe,42156,153,4121,9.82,543983,1974,24.9838,3223924,0.77495,0.333281524,0.54085,86
Angola,Africa,99194,19,97149,1.45,2853,55,149.9795,43136,347.69277,0.674428726,8.65468,59
Anguilla,North America,2984,9,2916,0.59,195646,59,5.1382,336887,0.15252,0.000019216,0.00138,86.5
Antigua And Barbuda,North America,7721,137,7511,0.73,77646,1378,0.1891,1976,0.99439,1.471125926,1.25877,79
Argentina,South America,911319,128729,8895999,765.91,197992,28,357.1669,776974,459.68174,0.000000487,34.86693,84
Armenia,Asia,422896,8623,41248,22.25,142219,29,36.8217,131834,29.73558,1.386149969,9.86762,76
Aruba,North America,35693,213,35199,2.81,331689,1979,17.7885,165353,0.01761,0.312619399,0.84212,90.8
Australia,Australia/Oceania,6593795,7794,6199822,3861.79,253112,299,788.5598,272142,2.65899,0.000000155,577.56454,95
Austria,Europe,4212492,1833,4135885,58.34,46284,211,185.3495,232881,0.91216,0.000000484,66.82331,92
Azerbaijan,Asia,792638,979,782869,0.06,76885,942,683.8458,663324,1.39383,54.62217647,137.28289,75
Bahamas,North America,33871,81,32488,5.82,84626,21,23.3473,58333,0.04242,3.88687E-05,3.40866,81
Bahrain,Asia,576997,1479,569758,5.76,318491,816,977.5981,5396149,18.11659,3.886866332,34.49026,88
Bangladesh,Asia,195312,29127,1899419,244.66,11643,174,145.1455,83767,1677.45162,0.000000416,139.73717,66
Barbados,North America,76261,433,71497,43.31,264768,153,66.9421,2324136,0.02883,0.000048438,0.15528,79
Belarus,Europe,982867,6978,,0,1478,739,132.2483,1399951,94.43535,0.068253877,130.54679,81
Belgium,Europe,4116397,31613,394135,1434.34,352324,276,338.4623,2896893,116.83561,0.000000594,91.68527,94
Belize,North America,57896,676,56761,4.59,14843,1644,54.9217,13367,0.41169,0.000024915,2.21394,68
Benin,Africa,26952,163,2556,12.83,212,13,0.6431,4753,127.14341,17.14491895,41.56907,53
Bermuda,North America,14135,135,13664,3.36,228537,2183,8.9398,144542,0.06185,0.000728667,1.31612,98.1
Bhutan,Asia,5957,21,59491,0.58,75651,27,2.3369,2925573,7.87432,2.539552985,19.09762,67
Bolivia,South America,96146,21943,863665,25.38,7574,1833,27.5422,22625,119.69554,0.044828528,137.73106,70.3
Bosnia And Herzegovina,Europe,377511,15778,,0,116414,4866,176.7199,544957,32.42823,23.36536164,4.02573,78
Botswana,Africa,36324,269,3326,0.68,125541,112,22.6898,83683,0.24437,17.61479127,16.53954,69
Brazil,South America,368294,66492,2971842,2987.72,14246,387,6377.6166,296119,215.37353,0.000000169,1761.64186,75
British Virgin Islands,North America,6573,62,,0,214762,226,1.3637,3386166,0.00366,0.0000423,0.41104,94.5
Brunei Darussalam,Asia,144659,22,142788,16.51,324871,494,71.7784,161198,4.45281,0.146569576,2.83345,83
Bulgaria,Europe,116154,3745,11432,111.57,169536,547,992.4259,1448573,0.68516,8.456312734,2.76778,80
Burkina Faso,Africa,2853,382,2439,0.32,949,17,24.8995,11333,21.97296,19.73761511,41.29254,45
Burundi,Africa,41235,38,,0,3286,3,34.5742,27549,125.49999,2.779813489,0.33734,43
Cabo Verde,Africa,5615,41,55613,0.91,9891,77,0.4982,7698,5.67234,0.193617443,0.57262,66
Cambodia,Asia,136262,356,133194,0.12,7945,178,296.1934,17279,171.49867,0.269616112,146.52519,59
Cameroon,Africa,11978,1927,117791,0.62,4312,69,175.1774,6368,27.77653,45.33828335,3.73226,58
Canada,North America,3821346,4228,3499564,2815.54,99622,149,6143.6458,16164,383.58465,0.000000199,858.75127,94
Caribbean Netherlands,North America,9915,35,9829,0.51,371668,1312,0.3126,1129287,0.26677,0,0.10219,0
Cayman Islands,North America,23578,28,8553,149.97,35177,417,22.2773,331798,0.67159,5.898449688,0.06659,88.8
Central African Republic,Africa,14649,113,6859,76.77,2938,23,8.1294,1634,49.86136,2.516498299,22.66531,40
Chad,Africa,7414,193,4874,23.47,428,11,19.1341,1158,1.73326,0.117799882,61.27422,39
Channel Islands,Europe,75275,173,74574,5.28,425648,978,12.5288,78495,1.76848,0,0.10219,98.5
Chile,South America,365522,57722,3468131,796.69,185643,2972,3769.3651,19479,194.21812,0.000000318,579.22798,86
China Hong Kong Sar,Asia,12856,9361,,0,1588,123,4497.2952,599516,0.76126,0,173.98698,95.2
China Macao Sar,Asia,82,,82,0,123,,0.5375,873,6.65819,0,14.30205,80
China,Asia,22184,529,21454,61.41,154,4,0.0016,111163,14393.23776,0.000000177,33910.88,77
Colombia,South America,695316,139821,5928829,266.66,117459,2694,3467.5581,668214,51.89295,0.000000314,369.63551,75
Comoros,Africa,81,16,7933,0.07,8959,177,0,,0.09491,0.129689633,6.4252,56
Congo,Africa,2479,385,2178,35.16,4172,67,34.7815,627,5.77949,0,8.30379,57
Cook Islands,Australia/Oceania,541,1,5291,1.18,37491,57,1.7469,992895,0.17594,0,0.3978,98.5
Costa Rica,North America,866164,8444,841683,16.37,167189,163,44.1922,849668,5.18753,64.28243867,43.41182,81
Cote D Ivoire,Africa,81989,799,81168,0.22,2971,29,15.9861,54716,275.94347,0,127.53769,55
Croatia,Europe,113145,1593,111145,41.15,278811,3925,483.8151,1192212,0.45813,0.689558328,2.32142,86
Cuba,North America,114589,8529,195534,5.26,97633,754,129.2253,1141997,113.13741,0,1.11196,76
Curacao,North America,4317,275,4223,5.39,26168,1663,49.6693,3416,1.65343,2.699612458,2.53666,81.1
Cyprus,Asia,477711,132,12437,352.39,39374,843,947.7138,7744481,12.23728,2.847867534,17.84616,90
Czech Republic,Europe,3915847,4245,3871654,39.48,36441,3745,5532.3981,5148342,17.45981,0,176.54355,88.9
Democratic Republic Of The Congo,Africa,8723,1337,593,347.56,92,14,8.4674,8948,946.29737,0,108.94482,47.9
Denmark,Europe,2976667,6287,296386,99.94,51561,178,12734.5763,21842472,0.58319,0.000000398,47.46322,95
Djibouti,Africa,15631,189,15427,0.15,1544,186,3.5941,31492,1.14756,3.482987379,3.49268,51
Dominica,North America,12685,63,12323,2.99,17543,871,19.4894,2694921,0.72319,0.554181482,0.66872,72
Dominican Republic,North America,58412,4376,575583,4.53,52524,396,33.5829,299156,0.11551,94.24345394,6.88554,77
Ecuador,South America,872268,3567,,0,488,1963,2.4717,136158,181.41962,0.000000162,14.24587,74
Egypt,Africa,515645,24613,442182,48.85,4868,232,369.3367,34867,159.28386,0,41.95852,73
El Salvador,North America,16289,4129,15662,72.98,24757,631,19.5448,29798,65.47158,0.002873694,108.43511,68
Equatorial Guinea,Africa,1591,183,1571,0.26,1687,123,31.7211,21368,14.88778,1.226939284,4.79991,60
Eritrea,Africa,9745,13,9632,0.01,2679,28,2.3693,6513,36.37828,0,0.09773,49
Estonia,Europe,573922,2556,514836,56.53,43216,1924,33.4534,251871,13.28196,37.19116615,8.61574,89
Ethiopia,Africa,47937,751,455757,7.67,3916,62,483.6364,4214,122.65111,0.000000111,37.46534,50
Faeroe Islands,Europe,34658,28,7693,269.37,7432,569,0.0778,1581116,0.04929,0,0.04407,95
Falkland Islands Malvinas,South America,1126,,,0,36896,,0.8632,2352685,0.03669,0,0.04407,87.4
Fiji,Australia/Oceania,64773,862,62875,1.36,71293,949,5.1773,569817,0.98543,0.042963459,6.41174,73
Finland,Europe,16974,4284,,0,192512,771,1.8328,1949355,5.55675,0.000000297,120.80311,94
France,Europe,291682,147257,28156674,8568.71,444914,2247,2714.9188,414221,65.54252,0.000000296,0.53188,90
French Guiana,South America,81784,397,11254,71.33,261212,1268,63.1628,217375,0.31394,0,0.84507,79.3
French Polynesia,Australia/Oceania,72821,649,,0,256473,2286,0,,2.83932,0.654676735,4.53259,79.3
Gabon,Africa,4768,34,47297,0.07,249,131,159.4523,686256,23.23511,2.216843174,5.66886,71
Gambia,Africa,11999,365,11591,0.43,4718,144,15.5686,6122,2.54354,0,5.39186,50
Georgia,Asia,1655221,16811,1637293,11.17,416417,4229,16.9279,4256722,3.97498,18.6293656,28.98265,80
Germany,Europe,2578226,137919,239567,1685.67,35877,1636,12233.2384,145145,84.28288,0.000000426,63.56347,94
Ghana,Africa,16128,1445,159788,0.47,4996,45,24.4226,75655,32.28617,7.759427955,1.17298,63
Gibraltar,Europe,18129,12,16579,14.48,5384,329,53.4283,15867278,0.33672,0,1.19855,96.1
Greece,Europe,3392575,29547,33614,57.14,328475,2861,8123.3888,786529,13.28255,0.000000215,7.64582,89
Greenland,North America,11971,21,2761,91.89,21191,369,16.4926,2895826,0.56953,0,0.79745,78.6
Grenada,North America,16344,221,14634,14.89,1448,1947,15.7363,1386531,1.13494,0.011228747,0.03934,80
Guadeloupe,North America,1413,854,225,137.26,3515,2134,9.3839,2343627,0.04251,0,1.64325,85.3
Guatemala,North America,851877,17792,831794,22.91,45966,96,454.3522,245163,18.53267,8.598575217,71.15784,63
Guinea Bissau,Africa,8222,171,81,0.41,42,83,13.6655,66512,2.54599,0,5.62717,48.3
Guinea,Africa,36597,442,36113,0.42,2653,32,0.6617,47848,137.95931,1.691817842,47.25982,47
Guyana,South America,6384,1228,6231,2.75,8396,1547,0.6196,76977,7.93621,0.084449881,9.11504,71
Haiti,North America,3713,835,2965,2.73,2634,72,13.2422,11356,11.66141,2.944392615,0.29241,54
Holy See,Europe,29,,29,0,3625,,0,,0.00085,0,0.00029,0
Honduras,North America,42439,1896,132358,2811.36,41615,168,13.6556,133856,11.97959,2.848866832,5.84631,62
Hungary,Europe,199948,46343,1821435,42.17,198649,482,1139.4556,1185122,96.14673,0.000000182,165.30488,85
Iceland,Europe,186545,12,,0,54134,347,2.2644,6555338,3.45368,0.256241921,0,96
India,Asia,43121599,524214,42579693,176.92,3686,373,84383.6914,6479,145.27333,0.000000318,9519.63793,63
Indonesia,Asia,65776,156458,5889534,47.84,21694,561,9724.5391,348662,278.91317,0.000000119,4153.85585,71
Iran,Asia,722851,141224,72835,659.92,8452,1642,5177.1715,6231,85.99595,0,1499.57751,77.4
Iraq,Asia,2326458,25216,2299985,12.57,5552,62,1852.9376,442197,41.92979,0.000000279,183.53783,69
Ireland,Europe,1535451,723,1499879,283.69,34622,1429,1214.4747,249429,0.05459,0.000000542,4.61875,95
Isle Of Man,Europe,28416,15,26794,15.17,33915,1223,1.5753,1755575,0.85871,0,1.89681,84.9
Israel,Asia,416793,1749,48115,148.94,4436,1153,4137.3364,4436346,0.09326,0.000000489,61.59588,92
Italy,Europe,1757873,165244,15894511,9981.18,28291,2741,21785.3667,361354,62.96265,0.000000218,479.72619,90
Jamaica,North America,13198,2995,84883,44.12,44211,13,13.1235,345445,29.85238,14.65758694,7.55392,71
Japan,Asia,8338211,339,7951587,3565.85,6635,239,544.4181,41129,1257.55488,0.000000495,133.65576,93
Jordan,Asia,1694216,1448,1678941,12.27,16334,1352,166.7254,164177,1.39178,45.74427166,99.51844,72
Kazakhstan,Asia,135636,13661,1291669,0.36,682,712,115.7512,6323,191.94987,0.000000197,209.18681,81
Kenya,Africa,32426,5649,318142,2.35,5789,11,36.3986,64866,559.76553,0.000000113,0.11944,58
Kiribati,Australia/Oceania,393,13,262,4.78,25175,16,0,,1.22862,0.000273125,1.47497,62
Kuwait,Asia,63274,2555,629114,0.45,1444,582,87.1763,183943,43.88186,0,33.45262,83
Kyrgyzstan,Asia,2993,2991,19646,15.96,29889,445,19.7195,283613,67.24638,0,13.76654,69
Laos,Asia,29386,754,,0,2822,11,123.2128,164896,74.72169,0,0.01836,60.7
Latvia,Europe,825699,5798,816253,36.48,446957,3139,721.7715,3975,18.47378,0.398535158,28.9244,86
Lebanon,Asia,197956,147,184853,26.96,162215,1538,479.5578,78511,67.68532,2.313194281,56.34462,71
Lesotho,Africa,3291,697,24155,8.58,15139,321,43.1221,198365,21.73878,0.249613468,0.93888,51
Liberia,Africa,7451,294,5747,1.41,1411,56,13.9824,26487,52.78999,0.000000359,19.96703,48
Libya,Africa,5194,643,49973,4.51,7124,913,247.7219,351613,0.74531,42.81747298,35.27093,72
Liechtenstein,Europe,17347,84,17192,0.71,452546,2191,1.2174,266551,0.38332,0,0.26464,94
Lithuania,Europe,16619,9127,13269,188.83,399994,3442,99.5493,3754317,26.51588,66.44525659,0.18846,88
Luxembourg,Europe,244182,173,235939,7.17,37861,1664,424.8188,658692,6.44943,8.556243834,13.00452,93
Macedonia,Europe,31684,9289,3761,6.34,149137,4459,2.3466,976666,2.83215,0,18.48954,77
Madagascar,Africa,64236,1393,5937,34.73,2214,48,4.3995,14854,29.16291,1.447263323,24.23671,50
Malawi,Africa,85887,2636,8273,5.48,4284,131,5.7887,28868,0.25211,12.62671749,3.71437,51
Malaysia,Asia,4475873,35612,449159,31.12,13567,175,5927.4648,178876,331.38284,0.000000373,275.46328,80
Maldives,Asia,179483,298,163687,154.98,321497,534,221.3831,396556,5.58272,0.545576236,3.85135,75
Mali,Africa,313,733,388,1.82,1453,34,0.6758,31636,213.36613,0.191446166,32.47719,43
Malta,Europe,9358,713,976,27.19,2173,167,1.9497,429355,4.43733,1.736444944,0.47155,92
Marshall Islands,Australia/Oceania,17,,14,0.03,284,,0,,0.59934,0.002595387,0.00018,64
Martinique,North America,153253,926,14,1522.23,48977,2471,82.8928,221219,3.74723,0,2.61839,84.9
Mauritania,Africa,5884,982,5778,0.15,1264,21,81.6126,167336,48.77181,9.996249658,15.37866,56
Mauritius,Africa,37843,996,36183,6.64,29665,781,35.8675,28116,12.75698,1.152942672,1.88142,80
Mayotte,Africa,37363,187,2964,342.12,13166,656,17.6919,62616,0.02857,0,0.37523,78.1
Mexico,North America,5745652,324465,544893,3762.94,4378,2468,158.5549,12615,131.45567,0.000000127,2086.30697,76
Micronesia,Australia/Oceania,7,,1,0.06,6,,0,,1.17269,0,0.00035,62.8
Moldova,Europe,516986,11489,54142,13.55,128715,286,32.1635,8772,0.41654,13.67922133,1.77327,65.3
Monaco,Europe,124,54,11866,0.84,31911,1358,0.5496,1382294,0.03976,0.859696984,0.6514,95.6
Mongolia,Asia,469885,2179,313256,154.45,139159,645,0.4348,1193522,3.37661,15.28644182,54.92919,74
Montenegro,Europe,236277,2719,232955,0.63,37619,4328,24.6521,3924142,6.28214,0.586126839,6.74511,83
Montserrat,North America,747,2,39,3.55,14946,4,1.1238,2248499,0.04998,0,0.04255,82.1
Morocco,Africa,1165795,1671,114954,0.67,392,426,11.2371,297864,377.25337,0.000000143,23.52142,68
Mozambique,Africa,225493,221,22319,0.12,6857,67,131.9772,4132,328.85526,15.77675863,184.73865,45
Myanmar,Asia,61314,19434,59289,16.17,1113,353,88.3326,146732,55.89133,6.591751273,0.02937,59
Namibia,Africa,1674,428,153662,23.84,6944,1534,11.8783,387873,2.62659,1.231595844,5.36749,62
Nauru,Australia/Oceania,8,,5,0.03,731,,0,,0.01951,0.133218897,0.22976,72
Nepal,Asia,978998,11952,96694,1.42,32511,397,56.6914,188264,31.12649,3.628883373,243.24965,60
Netherlands,Europe,867116,22292,7989151,556.73,468869,1296,211.7399,1226784,1.72548,0.000000113,333.1512,94
New Caledonia,Australia/Oceania,6149,312,6339,3.98,2172,174,9.8964,34539,0.02961,0.017135196,1.84784,0
New Zealand,Australia/Oceania,143683,923,9895,537.55,28649,185,712.7584,1424918,0.00521,0.000000025,111.02914,94
Nicaragua,North America,18491,225,4225,14.41,2731,33,0,,67.71338,0.014132292,6.67959,67
Niger,Africa,913,31,8579,1.24,349,12,2.5343,9794,258.37472,0.149151427,54.54196,40
Nigeria,Africa,255859,3143,249943,27.73,1186,15,51.1473,23717,2156.51424,0.000000448,69.79371,54
Niue,Australia/Oceania,9,,9,0,5464,,0,,0.01647,0,0.01635,79.4
Norway,Europe,1429717,361,,0,25994,557,1.1243,2372,0.55191,0.000000482,113.39913,96
Oman,Asia,38948,426,384592,5.56,7288,796,0.0025,4674286,5.34841,88.19197737,70.90453,82
Pakistan,Asia,1529249,3376,1494141,47.32,6681,133,283.5449,123867,228.87879,0.000000348,15.55956,54
Palau,Australia/Oceania,4879,6,4166,0.77,267269,329,4.9264,2698658,0.18255,0.000002178,0.05165,77
Panama,North America,86277,823,773421,246.53,181543,1847,61.9923,1355456,44.41253,0.000063651,3.17152,81
Papua New Guinea,Australia/Oceania,43876,651,432,0.25,4737,7,24.9149,26898,9.26265,2.659435746,3.18967,56
Paraguay,South America,649718,18872,624673,61.73,8955,2587,263.3737,36998,7.29575,39.49543157,35.44714,72
Peru,South America,3571919,21323,,0,15593,6297,322.6868,893567,33.82721,0.000000223,285.95253,76
Philippines,Asia,3687922,6455,3624459,0.38,32841,538,2982.7732,265614,1122.97269,0.000000395,74.49515,70
Poland,Europe,63436,11627,5335112,5521.17,15895,377,3622.4215,95988,37.76942,0.000000679,226.45645,88
Portugal,Europe,466674,22583,,0,4999,2227,419.3714,4131968,11.41346,0.000000254,88.97476,87
Qatar,Asia,366179,677,364474,1.28,13415,241,348.7616,1242115,0.28785,0.000000018,0.02852,86
Reunion,Africa,4598,762,39543,97.88,44753,84,1.6366,1767679,0.97212,0.000020339,0.04493,84.3
Romania,Europe,29372,65612,,0,15283,3453,2295.4921,128233,189.98751,0.000000285,168.27486,82
Russia,Europe,1826293,37767,17647179,2354.44,12527,2586,0.2734,1871949,14.65996,0.00001779,79.69966,82.4
Rwanda,Africa,12997,1459,45522,829.26,9587,18,53.4323,394334,135.49956,0.117356519,222.14312,53
Saint Barthelemy,North America,4611,6,,0,46421,64,7.8646,7917648,0.09933,0.000000255,0.0463,0
Saint Helena,Africa,2,,2,0,327,,0,,0.06111,0.000000039,0.07892,75.6
Saint Kitts And Nevis,North America,565,43,5547,0.15,13989,798,0.0777,1311818,0.00539,8.608E-07,0.60467,78
Saint Lucia,North America,24267,368,23277,6.22,13138,1987,14.3281,773697,0.18519,1.691E-07,1.20987,72
Saint Martin,North America,162,63,1399,9.14,265754,1579,11.2382,281715,0.39894,1.185E-07,0.00005,27.6
Saint Pierre And Miquelon,North America,2739,1,2449,2.89,47795,174,2.3687,4125936,0.05741,2.613E-07,0.60467,78.8
Saint Vincent And The Grenadines,North America,6799,16,6641,0.52,6925,95,9.9138,888365,1.11596,9.042E-08,0.31632,75
Samoa,Australia/Oceania,11313,24,165,96.84,5632,119,8.5921,427746,0.02869,0.843842417,4.94684,71
San Marino,Europe,16852,115,16454,2.83,494716,3376,15.2231,446897,0.03464,1.541E-07,0.69338,85
Sao Tome And Principe,Africa,597,73,5891,0.06,2633,322,0.2936,1286,2.26737,0.05266538,1.11986,62
Saudi Arabia,Asia,759226,9116,743921,61.89,21194,254,4214.4668,1176452,358.23522,0.000000834,254.14359,88
Senegal,Africa,8639,1966,8459,0.14,4898,112,18.1824,61589,175.65349,27.62538835,14.38733,51
Serbia,Europe,212836,1649,198829,85.78,232112,1851,959.6815,116664,86.71838,0.063824765,85.33114,80
Seychelles,Africa,43235,167,42553,5.15,43466,1679,0,,0.99481,1.454458184,0.83494,79
Sierra Leone,Africa,7682,125,,0,928,15,25.9958,314,8.27928,0.442237864,41.97335,48
Singapore,Asia,124233,1362,116214,767.31,28933,229,2376.7171,43881,5.93634,0.000000397,141.71209,94
Sint Maarten,North America,1123,86,9985,0.52,23128,1964,0.6256,1417354,0.43783,1.185E-07,0.10508,70.2
Slovakia,Europe,178793,241,1761664,53.88,32733,3667,712.7129,134244,54.64567,0.00001165,70.7405,85
Slovenia,Europe,119468,6622,13559,92.87,49254,3184,265.6926,1277694,0.27947,61.74858654,29.94545,92
Solomon Islands,Australia/Oceania,18174,146,16357,16.71,2533,23,0.5117,7124,7.18243,1.631486532,4.58474,56
Somalia,Africa,26518,135,13182,119.86,1586,81,0.4466,23953,167.18643,0.000762811,37.24063,36.1
South Africa,Africa,3887449,1753,378347,783.49,6442,166,2484.1314,49239,6.71292,0.000000419,21.38797,71
South Korea,Asia,1778261,2379,,0,346282,462,15.8465,37763,513.51355,0.00001811,443.95498,92.5
South Sudan,Africa,17525,138,13514,38.73,1532,12,38.9677,3468,114.38136,0.000012,0.38852,39
Spain,Europe,12127122,15444,1154889,4735.89,25919,2254,4713.6328,167352,46.78853,0.000000143,47.35254,91
Sri Lanka,Asia,663671,16511,646921,2.39,3753,765,648.6117,3555,21.58463,88.92726373,395.76548,78
State Of Palestine,Asia,582119,5353,576684,0.82,19376,16,37.8533,578432,5.32223,0.00001804,0,71.5
Sudan,Africa,62161,4936,,0,1359,18,56.2941,1233,457.55378,3.432658557,134.16394,51
Suriname,South America,88,1337,49455,292.16,134147,2242,23.6268,396143,5.96421,0.298476244,5.05699,73
Swaziland,Africa,71698,142,69549,7.47,6631,1186,12.1394,863732,11.82536,0.000004743,5,59.7
Sweden,Europe,254894,18864,2477725,8.35,24518,1846,1855.3837,181657,12.16549,0.000000636,225.83361,95
Switzerland,Europe,3631881,13882,3551493,66.56,4148,1582,29.2767,2385592,0.87725,0.000000864,0.61315,96
Syria,Asia,55869,315,52479,0.24,354,172,14.6269,7996,182.92142,0.00001108,38.70173,57.7
Taiwan,Asia,768543,168,6634,768.41,32161,45,162.7475,678221,23.89756,7.7473E-07,27.56187,90.7
Tajikistan,Asia,17388,124,17264,0,175,12,0,,99.36493,0.874627636,125.04152,69
Tanzania,Africa,35354,84,,0,562,13,0,,62.91456,6.784149193,321.65791,54.9
Thailand,Asia,4373846,29475,4273599,77.72,62371,42,172.7775,246281,71.26166,0.000000559,1378.96894,80
Timor Leste,Asia,22889,131,22746,0.12,16766,96,26.4799,193963,1.36524,0.000003621,0.22904,60.7
Togo,Africa,3723,273,36727,0.23,4285,32,73.5638,85144,86.39966,0.084132568,1.55466,54
Tonga,Australia/Oceania,1149,11,111,9.28,12376,12,51.8262,48212,0.17926,0.04692314,0.77331,75
Trinidad And Tobago,North America,154643,3871,141354,94.18,19837,2749,72.6218,51586,1.47928,2.446196271,15.683,81
Tunisia,Africa,141197,28575,,0,86414,2372,459.2916,381189,12.48936,46.68674181,6.39996,73
Turkey,Asia,1553168,9889,14951238,0.34,174977,1149,166.2271,186771,8.62925,0.000819,1477.89639,86.7
Turks And Caicos Islands,North America,646,36,5963,0.47,152323,97,5.5354,12731886,0.39692,0.009432698,0.69465,87.3
Uganda,Africa,16469,3596,125,62.68,3388,74,261.2795,5395,484.29823,0.452978926,1.34317,53
UK,Europe,2215985,17678,21677896,35.21,323264,2578,5192.6496,757495,68.55166,0.03131,1490.80378,92.9
Ukraine,Europe,5646,18449,,0,115771,258,1952.1252,451415,432.44553,0.000000286,316.68577,77
United Arab Emirates,Asia,92484,232,886128,14.54,8924,228,1591.3283,15732628,1.11295,0.000000415,20.37996,91
Uruguay,South America,9254,7213,892434,28.93,258152,263,611.4822,174915,34.96151,59.31948471,0.29222,81
USA,North America,8429473,126646,8124426,19385.67,251659,368,1168.8255,338939,3346.17623,0.02332,6075.88353,92.1
Uzbekistan,Asia,23882,1637,236974,1.91,6947,48,137.7915,488,343.72515,0.692389316,181.44247,73
Vanuatu,Australia/Oceania,8457,14,7974,4.69,26386,44,2.4976,77926,0.03258,0.956332656,3.01,61
Venezuela,South America,522921,5711,51617,0.14,18487,22,33.5914,118752,28.28599,0.0004824,378.60994,69.1
Viet Nam,Asia,169663,4365,93554,12985.25,188,435,8581.1485,86748,989.69721,0.0003661,2239.7464,70
Wallis And Futuna Islands,Australia/Oceania,454,7,438,0.09,41755,644,0.0258,188614,0.01873,0.000000188,0.16426,76.3
Western Sahara,Africa,1,1,9,0,16,2,0,,6.24681,0.0000025,0.0001,46.4
Yemen,Asia,11819,2149,99,6.61,381,69,26.5253,8543,3.14915,0.002161,7.73549,46
Zambia,Africa,32591,3983,315997,6.11,16575,26,345.2554,178497,193.42381,22.14763473,0.87474,57
Zimbabwe,Africa,24926,5482,242417,1.37,16324,359,228.7793,149863,152.65849,28.37123867,118.51836,59
